Sample_ID,Location,Depth,DOY,Species_Code,Species_Name,Cell_Density_L,Biomass_mg_m3,Length_um,Width_um,Cell_Volume_um3,Group,Description_Code,Phylum,Family,Genus,Species,name_code
16832,Buffalo Pound,0.8,149,P2256,Actinastrum sp. Lagerheim,186784,2.65,4,2.6,14.2,Chlorophyte,PHYT,NA,NA,NA,NA,NA.NA
16832,Buffalo Pound,0.8,149,P4351,Small chrysophyceae,438224,4.51,2.7,2.7,10.3,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
16832,Buffalo Pound,0.8,149,P4352,Large chrysophyceae,179600,32.26,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
16832,Buffalo Pound,0.8,149,P4355,Chrysochromulina parva Lackey,1293120,84.57,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
16832,Buffalo Pound,0.8,149,P4358,Chrysostephanosphaera globulifera Scherffel,50288,16.75,8.6,8.6,333,Chrysophyte,PHYT,Chrysophyta,Rhizochrysidaceae,Chrysostephanospaera,globulifera,Chr.glo
16832,Buffalo Pound,0.8,149,P4362,Kephyrion sp.,172416,3.24,3.3,3.3,18.8,Chrysophyte,PHYT,Chrysophyta,Chromulineae,Kephyrion,sp.,Kep.sp.
16832,Buffalo Pound,0.8,149,P4369,Mallomonas pseudocoronata Prescott,400,0.46,22,10,1151.9,Chrysophyte,PHYT,Chrysophyta,Synuraceae,Mallomonas,pseudocoronata,Mal.pse
16832,Buffalo Pound,0.8,149,P4388,Dinobryon sertularia Ehrenberg,1523008,344.5,12,6,226.2,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
16832,Buffalo Pound,0.8,149,P4388,Dinobryon sertularia Ehrenberg,800,1,0,0,1250,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
16832,Buffalo Pound,0.8,149,P4401,Uroglena volvox Ehrenberg,251440,28.44,6,6,113.1,Chrysophyte,PHYT,Chrysophyta,Ochromonadaceae,Uroglena,volvox,Uro.vol
16832,Buffalo Pound,0.8,149,P4413,Chrysochromulina laurentiana Kling,86208,52.25,10.5,10.5,606.1,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,laurentiana,Chr.lau
16832,Buffalo Pound,0.8,149,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,21552,0.61,6,3,28.3,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
16832,Buffalo Pound,0.8,149,P5507,Cyclotella stelligera Cleve and Grunow,400,0.73,10.5,21,1818.4,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,stelligera,Cyc.ste
16832,Buffalo Pound,0.8,149,P5515,Fragilaria crotonensis Kitton,37600,12.13,77,4,322.5,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
16832,Buffalo Pound,0.8,149,P5524,Asterionella formosa Hassall,2000,0.21,99,2,103.7,Diatom,PHYT,Chrysophyta,Fragilarioideae,Asterionella,formosa,Ast.for
16832,Buffalo Pound,0.8,149,P5551,Cyclotella michiganiana Skvortzow,93392,2.29,2.5,5,24.5,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,michiganiana,Cyc.mic
16832,Buffalo Pound,0.8,149,P6554,Rhodomonas minuta Skuja,237072,20.7,10,5,87.3,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
16832,Buffalo Pound,0.8,149,P6558,Cryptomonas erosa Ehrenberg,1200,2.13,26,14,1778.8,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
16832,Buffalo Pound,0.8,149,P6568,Katablepharis ovalis Skuja,251440,11.79,8.2,4,46.9,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
16832,Buffalo Pound,0.8,149,P7632,Gymnodinium sp.,400,3.68,26,26,9202.8,Dinoflagellate,PHYT,Pyrrhophyta,Gymnodinaceae,Gymnodinium,sp.,Gym.sp.
16832,Buffalo Pound,0.8,149,P7639,Peridinium pusillum (Penard) Lemmermann,1600,6.02,19.3,19.3,3764.2,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,pusillum,Per.pus
16832,Buffalo Pound,0.8,149,P7640,Peridinium goslaviense Woloszynska,200,6.7,40,40,33510.3,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,goslaviense,Per.gos
16832,Buffalo Pound,0.8,149,P7641,Peridinium aciculiferum Lemmermann,200,1.81,30,24,9047.8,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,aciculiferum,Per.aci
16835,Buffalo Pound,0.8,158,P1028,Merismopedia glauca (Ehrenberg) Kutzing,28736,0.52,0,0,18,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Merismopedia,glauca,Mer.gla
16835,Buffalo Pound,0.8,158,P1054,Planktolyngbya limnetica,9200,2.24,215,1.2,243.2,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktolyngbya,limnetica,Pla.lim
16835,Buffalo Pound,0.8,158,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,4400,30.86,360,6.1,7013.9,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
16835,Buffalo Pound,0.8,158,P2105,Chlamydomonas spp.,21552,1.08,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
16835,Buffalo Pound,0.8,158,P2121,Oocystis lacustris Chodat,93392,2.64,6,3,28.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
16835,Buffalo Pound,0.8,158,P2130,Scenedesmus quadricauda (Turp.) Brebisson,28736,1.38,8.6,4,48,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,quadricauda,Sce.qua
16835,Buffalo Pound,0.8,158,P2132,Scenedesmus denticulatus Lagerhiem,114944,5.33,8.3,4,46.4,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,denticulatus,Sce.den
16835,Buffalo Pound,0.8,158,P2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,100576,1.78,20,1.5,17.7,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Monoraphidium,contortum,Mon.con
16835,Buffalo Pound,0.8,158,P2143,Monoraphidium minutum (Nag.) Komarkova-Legnerova,804608,38.94,7.7,4,48.4,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Monoraphidium,minutum,Mon.min
16835,Buffalo Pound,0.8,158,P2145,Crucigenia quadrata Morr.,229888,1.08,3,3,4.7,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Crucigeniella,quadrata,Cru.qua
16835,Buffalo Pound,0.8,158,P2235,Ankistrodesmus spiralis Lemmermann,114944,7.37,37,2.1,64.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankistrodesmus,spiralis,Ank.spi
16835,Buffalo Pound,0.8,158,P2255,Selenastrum copricornutum Printz,86208,0.94,7.2,1.7,10.9,Chlorophyte,PHYT,Chlorophyta,Selenastraceae,Selenastrum,copricornutum,Sel.cop
16835,Buffalo Pound,0.8,158,P2256,Actinastrum sp. Lagerheim,114944,1.89,5,2.5,16.4,Chlorophyte,PHYT,NA,NA,NA,NA,NA.NA
16835,Buffalo Pound,0.8,158,P4351,Small chrysophyceae,545984,6.99,2.9,2.9,12.8,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
16835,Buffalo Pound,0.8,158,P4352,Large chrysophyceae,7184,1.29,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
16835,Buffalo Pound,0.8,158,P4355,Chrysochromulina parva Lackey,244256,15.97,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
16835,Buffalo Pound,0.8,158,P4388,Dinobryon sertularia Ehrenberg,193968,43.88,12,6,226.2,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
16835,Buffalo Pound,0.8,158,P4401,Uroglena volvox Ehrenberg,122128,13.81,6,6,113.1,Chrysophyte,PHYT,Chrysophyta,Ochromonadaceae,Uroglena,volvox,Uro.vol
16835,Buffalo Pound,0.8,158,P4414,Stichogloea spp.,43104,2.17,6,4,50.3,Chrysophyte,PHYT,Chrysophyta,Stichogloeaceae,Stichogloea,spp.,Sti.spp
16835,Buffalo Pound,0.8,158,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,43104,1.47,6,3.3,34.2,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
16835,Buffalo Pound,0.8,158,P5515,Fragilaria crotonensis Kitton,1200,0.37,73,4,305.8,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
16835,Buffalo Pound,0.8,158,P5523,Synedra ulna (Nitzsch) Ehrenberg,200,0.41,220,6,2073.5,Diatom,PHYT,Chrysophyta,Fragilarioideae,Synedra,ulna,Syn.uln
16835,Buffalo Pound,0.8,158,P6568,Katablepharis ovalis Skuja,21552,0.96,8,4,44.7,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
16838,Buffalo Pound,0.8,164,P1014,Chroococcus limneticus Lemmermann,28736,2.24,5.3,5.3,78,Cyanophyte,PHYT,Cyanophyta,Chroococcaceae,Chroococcus,limneticus,Chr.lim
16838,Buffalo Pound,0.8,164,P1028,Merismopedia glauca (Ehrenberg) Kutzing,114944,2.07,0,0,18,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Merismopedia,glauca,Mer.gla
16838,Buffalo Pound,0.8,164,P1054,Planktolyngbya limnetica,125800,32.72,230,1.2,260.1,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktolyngbya,limnetica,Pla.lim
16838,Buffalo Pound,0.8,164,P1076,Woronichinia compacta (Lemmermann) Komarek and Hindak,800,0.4,0,0,500,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Woronichinia,compacta,Wor.com
16838,Buffalo Pound,0.8,164,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,1800,5.86,235,4.2,3255.8,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
16838,Buffalo Pound,0.8,164,P1088,Anabaena solitaria Klebs,8200,41.18,180,7.3,5022.5,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,solitaria,Ana.sol
16838,Buffalo Pound,0.8,164,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,32800,253.57,372,6.3,7730.8,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
16838,Buffalo Pound,0.8,164,P2105,Chlamydomonas spp.,79024,1.94,5.2,3,24.5,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
16838,Buffalo Pound,0.8,164,P2105,Chlamydomonas spp.,14368,2.17,8,6,150.8,Chlorophyte,PHYT,Chlorophyta,Chlamydomonadaceae,Chlamydomonas,spp.,Chl.spp
16838,Buffalo Pound,0.8,164,P2113,Pediastrum duplex Meyen,400,1.24,0,0,3100,Chlorophyte,PHYT,Chlorophyta,Hydrodictyaceae,Pediastrum,duplex,Ped.dup
16838,Buffalo Pound,0.8,164,P2121,Oocystis lacustris Chodat,150864,7.59,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
16838,Buffalo Pound,0.8,164,P2130,Scenedesmus quadricauda (Turp.) Brebisson,186784,8.44,8.1,4,45.2,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,quadricauda,Sce.qua
16838,Buffalo Pound,0.8,164,P2132,Scenedesmus denticulatus Lagerhiem,201152,9.33,8.3,4,46.4,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,denticulatus,Sce.den
16838,Buffalo Pound,0.8,164,P2136,Dictyosphaerium pulchellum Wood,955472,108.06,6,6,113.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Dictyosphaerium,pulchellum,Dic.pul
16838,Buffalo Pound,0.8,164,P2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,215520,4.01,21,1.5,18.6,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Monoraphidium,contortum,Mon.con
16838,Buffalo Pound,0.8,164,P2145,Crucigenia quadrata Morr.,172416,0.81,3,3,4.7,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Crucigeniella,quadrata,Cru.qua
16838,Buffalo Pound,0.8,164,P2235,Ankistrodesmus spiralis Lemmermann,100576,5.23,30,2.1,52,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Ankistrodesmus,spiralis,Ank.spi
16838,Buffalo Pound,0.8,164,P2255,Selenastrum copricornutum Printz,732768,7.99,7.2,1.7,10.9,Chlorophyte,PHYT,Chlorophyta,Selenastraceae,Selenastrum,copricornutum,Sel.cop
16838,Buffalo Pound,0.8,164,P2256,Actinastrum sp. Lagerheim,28736,0.47,5,2.5,16.4,Chlorophyte,PHYT,NA,NA,NA,NA,NA.NA
16838,Buffalo Pound,0.8,164,P3304,Phacus sp.,400,3.6,43,20,9005.9,Euglenophyte,PHYT,Euglenophyta,Euglenaceae,Phacus,sp.,Pha.sp.
16838,Buffalo Pound,0.8,164,P4351,Small chrysophyceae,258624,2.38,2.6,2.6,9.2,Chrysophyte,PHYT,Chrysophyta,.,Small chrysophyceae,.,Sma..
16838,Buffalo Pound,0.8,164,P4352,Large chrysophyceae,79024,14.19,7,7,179.6,Chrysophyte,PHYT,Chrysophyta,.,Large chrysophyceae,.,Lar..
16838,Buffalo Pound,0.8,164,P4355,Chrysochromulina parva Lackey,71840,4.7,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
16838,Buffalo Pound,0.8,164,P4358,Chrysostephanosphaera globulifera Scherffel,14368,5.67,9.1,9.1,394.6,Chrysophyte,PHYT,Chrysophyta,Rhizochrysidaceae,Chrysostephanospaera,globulifera,Chr.glo
16838,Buffalo Pound,0.8,164,P4388,Dinobryon sertularia Ehrenberg,71840,16.25,12,6,226.2,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
16838,Buffalo Pound,0.8,164,P4414,Stichogloea spp.,14368,0.72,6,4,50.3,Chrysophyte,PHYT,Chrysophyta,Stichogloeaceae,Stichogloea,spp.,Sti.spp
16838,Buffalo Pound,0.8,164,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,57472,2.21,6,3.5,38.5,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
16838,Buffalo Pound,0.8,164,P5509,Cyclotella ocellata Pant.,7184,1.03,4.5,9,143.1,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,ocellata,Cyc.oce
16838,Buffalo Pound,0.8,164,P5515,Fragilaria crotonensis Kitton,800,0.24,71,4,297.4,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
16838,Buffalo Pound,0.8,164,P5550,Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot,7184,1.23,41,4,171.7,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,capucina,Fra.cap
16838,Buffalo Pound,0.8,164,P5551,Cyclotella michiganiana Skvortzow,474144,11.62,2.5,5,24.5,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,michiganiana,Cyc.mic
16838,Buffalo Pound,0.8,164,P6554,Rhodomonas minuta Skuja,93392,7.42,9.1,5,79.4,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
16838,Buffalo Pound,0.8,164,P6558,Cryptomonas erosa Ehrenberg,400,0.71,26,14,1778.8,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Cryptomonas,erosa,Cry.ero
16838,Buffalo Pound,0.8,164,P6568,Katablepharis ovalis Skuja,14368,0.66,8.1,4,45.8,Cryptophyte,PHYT,Pyrrhophyta,Katablepharidaceae,Katablepharis,ovalis,Kat.ova
16838,Buffalo Pound,0.8,164,P7632,Gymnodinium sp.,200,1.84,26,26,9202.8,Dinoflagellate,PHYT,Pyrrhophyta,Gymnodinaceae,Gymnodinium,sp.,Gym.sp.
16838,Buffalo Pound,0.8,164,P7635,Peridinium willei Huitfeldt-Kaas,200,4.89,36,36,24429,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,willei,Per.wil
16838,Buffalo Pound,0.8,164,P7639,Peridinium pusillum (Penard) Lemmermann,600,2.51,20,20,4188.8,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,pusillum,Per.pus
16838,Buffalo Pound,0.8,164,P7640,Peridinium goslaviense Woloszynska,3400,113.94,40,40,33510.3,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,goslaviense,Per.gos
16841,Buffalo Pound,0.8,170,P1028,Merismopedia glauca (Ehrenberg) Kutzing,172416,3.1,0,0,18,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Merismopedia,glauca,Mer.gla
16841,Buffalo Pound,0.8,170,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,26800,290.31,491,5.3,10832.4,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
16841,Buffalo Pound,0.8,170,P1132,Anabaena crassa (Lemm.) Kom-Legn. & Crongerg,40200,799.85,380,10,19896.8,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,crassa,Ana.cra
16841,Buffalo Pound,0.8,170,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,234000,1624.87,345,6.2,6943.9,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
16841,Buffalo Pound,0.8,170,P2121,Oocystis lacustris Chodat,222704,11.2,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
16841,Buffalo Pound,0.8,170,P2130,Scenedesmus quadricauda (Turp.) Brebisson,423856,23.52,8.6,4.3,55.5,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,quadricauda,Sce.qua
16841,Buffalo Pound,0.8,170,P2132,Scenedesmus denticulatus Lagerhiem,617824,28.67,8.3,4,46.4,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,denticulatus,Sce.den
16841,Buffalo Pound,0.8,170,P2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,222704,3.94,20,1.5,17.7,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Monoraphidium,contortum,Mon.con
16841,Buffalo Pound,0.8,170,P2255,Selenastrum copricornutum Printz,122128,1.29,7,1.7,10.6,Chlorophyte,PHYT,Chlorophyta,Selenastraceae,Selenastrum,copricornutum,Sel.cop
16841,Buffalo Pound,0.8,170,P3301,Euglena acus Ehrenberg,200,1.6,106,12,7992.2,Euglenophyte,PHYT,Euglenophyta,Euglenaceae,Euglena,acus,Eug.acu
16841,Buffalo Pound,0.8,170,P4355,Chrysochromulina parva Lackey,1975600,129.2,5,5,65.4,Chrysophyte,PHYT,Chrysophyta,Prymnesiaceae,Chrysochromulina,parva,Chr.par
16841,Buffalo Pound,0.8,170,P4388,Dinobryon sertularia Ehrenberg,122128,27.63,12,6,226.2,Chrysophyte,PHYT,Chrysophyta,Dinobryoaceae,Dinobryon,sertularia,Din.ser
16841,Buffalo Pound,0.8,170,P4401,Uroglena volvox Ehrenberg,1932496,218.57,6,6,113.1,Chrysophyte,PHYT,Chrysophyta,Ochromonadaceae,Uroglena,volvox,Uro.vol
16841,Buffalo Pound,0.8,170,P4418,Salpingoeca frequentissima (Zach.) Lemmermann,64656,2.21,6,3.3,34.2,Chrysophyte,PHYT,Chrysophyta,Craspedomonadaceae,Salpingoeca,frequentissima,Sal.fre
16841,Buffalo Pound,0.8,170,P5515,Fragilaria crotonensis Kitton,3200,0.95,71,4,297.4,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,crotonensis,Fra.cro
16841,Buffalo Pound,0.8,170,P5550,Fragilaria capucina v. rumpens (Kutzing) Lange-Bertalot,2198304,377.45,41,4,171.7,Diatom,PHYT,Chrysophyta,Fragilarioideae,Fragilaria,capucina,Fra.cap
16841,Buffalo Pound,0.8,170,P5551,Cyclotella michiganiana Skvortzow,725584,17.78,2.5,5,24.5,Diatom,PHYT,Chrysophyta,Coscinodiscoideae,Cyclotella,michiganiana,Cyc.mic
16841,Buffalo Pound,0.8,170,P6554,Rhodomonas minuta Skuja,7184,0.47,9.2,4.5,65,Cryptophyte,PHYT,Pyrrhophyta,Cryptomonadaceae,Rhodomonas,minuta,Rho.min
16841,Buffalo Pound,0.8,170,P7632,Gymnodinium sp.,2200,15.92,24,24,7238.2,Dinoflagellate,PHYT,Pyrrhophyta,Gymnodinaceae,Gymnodinium,sp.,Gym.sp.
16841,Buffalo Pound,0.8,170,P7639,Peridinium pusillum (Penard) Lemmermann,12400,46.68,19.3,19.3,3764.2,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,pusillum,Per.pus
16841,Buffalo Pound,0.8,170,P7640,Peridinium goslaviense Woloszynska,6000,201.06,40,40,33510.3,Dinoflagellate,PHYT,Pyrrhophyta,Peridiniaceae,Peridinium,goslaviense,Per.gos
16845,Buffalo Pound,0.8,172,P1028,Merismopedia glauca (Ehrenberg) Kutzing,150864,2.72,0,0,18,Cyanophyte,PHYT,Cyanophyta,Microcystaceae,Merismopedia,glauca,Mer.gla
16845,Buffalo Pound,0.8,172,P1054,Planktolyngbya limnetica,3600,0.69,169,1.2,191.1,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktolyngbya,limnetica,Pla.lim
16845,Buffalo Pound,0.8,172,P1078,Planktothrix agardhii (Gom.) Anagnostidis and Komarek,3000,21.66,340,5.2,7220.6,Cyanophyte,PHYT,Cyanophyta,Oscillatotiaceae,Planktothrix,agardhii,Pla.aga
16845,Buffalo Pound,0.8,172,P1088,Anabaena solitaria Klebs,400,1.49,141,7.1,3721.6,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,solitaria,Ana.sol
16845,Buffalo Pound,0.8,172,P1132,Anabaena crassa (Lemm.) Kom-Legn. & Crongerg,27000,303.95,215,10,11257.4,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,crassa,Ana.cra
16845,Buffalo Pound,0.8,172,P1133,Anabaena flos-aquae (Lyngb.) Breb. & Bornet,87600,643.54,365,6.2,7346.4,Cyanophyte,PHYT,Cyanophyta,Nostocaceae,Anabaena,flos-aquae,Ana.flo
16845,Buffalo Pound,0.8,172,P2121,Oocystis lacustris Chodat,93392,4.7,6,4,50.3,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Oocystis,lacustris,Ooc.lac
16845,Buffalo Pound,0.8,172,P2130,Scenedesmus quadricauda (Turp.) Brebisson,395120,18.33,8.3,4,46.4,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,quadricauda,Sce.qua
16845,Buffalo Pound,0.8,172,P2132,Scenedesmus denticulatus Lagerhiem,28736,1.33,8.3,4,46.4,Chlorophyte,PHYT,Chlorophyta,Scenedesmaceae,Scenedesmus,denticulatus,Sce.den
16845,Buffalo Pound,0.8,172,P2136,Dictyosphaerium pulchellum Wood,244256,27.63,6,6,113.1,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Dictyosphaerium,pulchellum,Dic.pul
16845,Buffalo Pound,0.8,172,P2141,Monoraphidium contortum (Thur.) Komarkova-Legnerova,294544,5.21,20,1.5,17.7,Chlorophyte,PHYT,Chlorophyta,Oocystaceae,Monoraphidium,contortum,Mon.con
