Date,Sample_Type,Depth_m,MC_total,ANA_a,MC_RR,MC_YR,MC_LR,dmMC_LR,MC_HiIR,MC_WR,MC_LA,MC_LY,MC_LW,MC_LF,AP_A,AP_B
2019-08-21,Intracellular,2.8,1970.1,0,28.9,109.7,1488.2,51,14.1,0,3.3,29.2,37.2,13.3,34.3,138.8
2019-08-21,Intracellular,0.8,1995.4,0,32.8,103.7,1358.2,57.3,0,5,3.7,30.4,37.1,13.1,36.4,172.2
2019-08-21,Intracellular,0,2497.9,0,35.3,124.5,1548.5,58.5,37.2,0,14.6,47.2,47.3,10.8,39.4,130.4
2019-08-30,Intracellular,2.8,647.8,10.8,5.5,13.7,354.9,15.4,0,0,0,0,8.2,2.5,155,99.6
2019-08-30,Intracellular,0.8,652.1,0,3.5,10.8,489.4,15.9,0,0,0,0,0,0,180.3,104.8
2019-08-30,Intracellular,0,568,10.1,6.8,22.6,440,22.5,0,0,0,0,8.5,0,193.5,117.4
2019-09-03,Intracellular,2.8,280.2,18.8,2.5,9.4,284.9,12.4,0,0,0,0,3.3,0,275.1,153.3
2019-09-03,Intracellular,0.8,646.9,0,4.2,10.8,390.9,11.4,0,0,0,0,0,0,196.5,118.5
2019-09-03,Intracellular,0,507.4,0,0,15.4,337.9,10.1,0,0,0,0,10,0,235.3,160.3
2019-09-13,Intracellular,2.8,155.9,22.6,2.3,8.7,82.4,7.1,0,0,0,0,0,0,226.7,160.6
2019-09-13,Intracellular,0.8,253.3,0,0,1.6,113,1.5,0,0,0,0,0,0,284,170.5
2019-09-13,Intracellular,0,201.7,15,1.6,9.4,114.4,0,0,0,0,0,3.9,0,238.8,164.1
2019-09-17,Intracellular,2.8,164.3,14.7,0,0,95.7,6.5,0,0,0,0,3.8,0,298.2,240
2019-09-17,Intracellular,0.8,99.7,5.6,0,0,82.4,2.3,0,0,1,0,3.4,0,458.6,303.3
2019-09-17,Intracellular,0,110.6,6.8,0,0,68.3,5.4,0,0,0,0,0,0,389,352.7
2019-09-26,Intracellular,2.8,109.4,5.6,0,5.6,64,3.4,0,0,0,0,1.6,0,366.6,314
2019-09-26,Intracellular,0.8,141,5,0,12.2,85.2,4,0,0,0,0,3.5,0,343,280.9
2019-09-26,Intracellular,0,126.2,0,3.4,7.3,72.7,0,0,0,0,0,2.5,0,446.9,226.5
2019-10-03,Intracellular,2.8,113.3,0,0,3.9,83.4,4.3,0,0,0,0,3.9,0,542.8,250.5
2019-10-03,Intracellular,0.8,93.9,0,0,13.2,0,0,0,0,0,0,0,0,424.1,266.3
2019-10-03,Intracellular,0,86,0,0,0,0,0,0,0,0,0,0,0,452.9,259.7
